,dataset_name,model_name,learning_rate,batch_size,optimizer_name,num_epochs,device,train_loss,train_accuracy,val_loss,val_accuracy,model_path,model_dir,base_dir,training_time,test_loss,test_accuracy,flops,acc_per_sec,time_per_megaflop
0,fashion-mnist,resnet18,0.001,16,sgd,5,cpu,"[0.7569319646389441, 0.4640136220322704, 0.3930550328961371, 0.35330136999327283, 0.3284631548233447]","[0.7199134552580013, 0.8296048334421946, 0.8580584585238407, 0.8723056825604181, 0.8819399085564991]","[0.4853265805074147, 0.35618239827666964, 0.31755048955764087, 0.3390039205838527, 0.25980534597379823]","[0.8221428571428572, 0.8725714285714286, 0.884, 0.8812857142857143, 0.9024285714285715]",./q2_experiments/cpu_experiments/dataset_name_fashion-mnist_model_name_resnet18_learning_rate_0.001_batch_size_16_optimizer_name_sgd_num_epochs_5_device_cpu/model.pth,./q2_experiments/cpu_experiments/dataset_name_fashion-mnist_model_name_resnet18_learning_rate_0.001_batch_size_16_optimizer_name_sgd_num_epochs_5_device_cpu,./q2_experiments/cpu_experiments,1734.1865825653076,0.26389312337658233,0.9047857142857143,1818558976,0.0005217349294372372,0.9536048076811492
1,fashion-mnist,resnet18,0.001,16,adam,5,cpu,"[0.6219805264839408, 0.402315324969872, 0.34527406303709646, 0.3156843380704473, 0.28745666468538195]","[0.7679417047681254, 0.852486120182887, 0.8747550620509471, 0.8858589157413456, 0.8965953625081646]","[0.4517609878246273, 0.2971253251433372, 0.2904707336808954, 0.24726381348712104, 0.2536633753031492]","[0.8308571428571428, 0.8891428571428571, 0.8931428571428571, 0.9081428571428571, 0.9074285714285715]",./q2_experiments/cpu_experiments/dataset_name_fashion-mnist_model_name_resnet18_learning_rate_0.001_batch_size_16_optimizer_name_adam_num_epochs_5_device_cpu/model.pth,./q2_experiments/cpu_experiments/dataset_name_fashion-mnist_model_name_resnet18_learning_rate_0.001_batch_size_16_optimizer_name_adam_num_epochs_5_device_cpu,./q2_experiments/cpu_experiments,2009.8233487606049,0.256098193635898,0.9052857142857142,1818558976,0.0004504304892487072,1.1051735881457632
2,fashion-mnist,resnet32,0.001,16,sgd,5,cpu,"[0.7151562857747584, 0.42692180142137526, 0.35745037292938736, 0.31899857516281893, 0.29636893678255194]","[0.7332013389941215, 0.8453829196603527, 0.8717137491835402, 0.8843484650555192, 0.8923905943827564]","[0.41902150287798473, 0.36752747973799704, 0.3073302568452699, 0.26497198450458903, 0.26071252787006755]","[0.8417142857142857, 0.8611428571428571, 0.8828571428571429, 0.905, 0.9064285714285715]",./q2_experiments/cpu_experiments/dataset_name_fashion-mnist_model_name_resnet32_learning_rate_0.001_batch_size_16_optimizer_name_sgd_num_epochs_5_device_cpu/model.pth,./q2_experiments/cpu_experiments/dataset_name_fashion-mnist_model_name_resnet32_learning_rate_0.001_batch_size_16_optimizer_name_sgd_num_epochs_5_device_cpu,./q2_experiments/cpu_experiments,2727.171013355255,0.2649373194298574,0.9082857142857143,3670755840,0.0003330505163914326,0.7429453584565449
3,fashion-mnist,resnet32,0.001,16,adam,5,cpu,"[0.6646407976902287, 0.4319595498593121, 0.36060674752125177, 0.32262273002105657, 0.2937913443549499]","[0.7519595035924233, 0.8409944480731548, 0.8669170476812541, 0.8808785107772698, 0.8913087851077727]","[0.4228783693994795, 0.36410837552802905, 0.3009414587318897, 0.31230362125805444, 0.2636890164911747]","[0.8421428571428572, 0.864, 0.8921428571428571, 0.8807142857142857, 0.902]",./q2_experiments/cpu_experiments/dataset_name_fashion-mnist_model_name_resnet32_learning_rate_0.001_batch_size_16_optimizer_name_adam_num_epochs_5_device_cpu/model.pth,./q2_experiments/cpu_experiments/dataset_name_fashion-mnist_model_name_resnet32_learning_rate_0.001_batch_size_16_optimizer_name_adam_num_epochs_5_device_cpu,./q2_experiments/cpu_experiments,2816.8088064193726,0.260940283638026,0.9046428571428572,3670755840,0.00032115877196962016,0.7673647960250531
4,fashion-mnist,resnet50,0.001,16,sgd,5,cpu,"[1.005738783520686, 0.5685877284396422, 0.4622841180575334, 0.3998925642090333, 0.36493667513545747]","[0.639430927498367, 0.7939255388634879, 0.833115610711953, 0.8571603527106466, 0.8682642064010451]","[0.5715166610266481, 0.5414722373900669, 0.3622177048368113, 0.4537318098757948, 0.3372067051125424]","[0.798, 0.8207142857142857, 0.8694285714285714, 0.8502857142857143, 0.8817142857142857]",./q2_experiments/cpu_experiments/dataset_name_fashion-mnist_model_name_resnet50_learning_rate_0.001_batch_size_16_optimizer_name_sgd_num_epochs_5_device_cpu/model.pth,./q2_experiments/cpu_experiments/dataset_name_fashion-mnist_model_name_resnet50_learning_rate_0.001_batch_size_16_optimizer_name_sgd_num_epochs_5_device_cpu,./q2_experiments/cpu_experiments,4957.158057928085,0.33850202897616793,0.8852142857142857,4109485056,0.00017857293944834867,1.206272316452508
5,fashion-mnist,resnet50,0.001,16,adam,5,cpu,"[0.7500476028470919, 0.491483845686568, 0.41054415441185704, 0.3684801456012357, 0.33810542661612725]","[0.7201379817112998, 0.8199093729588505, 0.8493223383409536, 0.8654474199869366, 0.8755715218811234]","[0.4978199336103031, 0.3785107717748199, 0.32716425331149784, 0.36537853470018933, 0.2971231586422239]","[0.8235714285714286, 0.8655714285714285, 0.88, 0.8688571428571429, 0.8927142857142857]",./q2_experiments/cpu_experiments/dataset_name_fashion-mnist_model_name_resnet50_learning_rate_0.001_batch_size_16_optimizer_name_adam_num_epochs_5_device_cpu/model.pth,./q2_experiments/cpu_experiments/dataset_name_fashion-mnist_model_name_resnet50_learning_rate_0.001_batch_size_16_optimizer_name_adam_num_epochs_5_device_cpu,./q2_experiments/cpu_experiments,4395.270018815994,0.3041841884266053,0.892,4109485056,0.00020294543820547538,1.0695427672619802
6,fashion-mnist,resnet18,0.001,16,sgd,5,cuda,"[0.7652195116893129, 0.466882116764122, 0.3911731164004583, 0.3500068017946475, 0.32200203436669533]","[0.7162597975179621, 0.829523187459177, 0.8582421619856303, 0.8735916067929458, 0.8838381776616591]","[0.49739607576813016, 0.357790495966162, 0.5434598543814251, 0.2963427082853658, 0.2666511275981154]","[0.8167142857142857, 0.8707142857142857, 0.8037142857142857, 0.8911428571428571, 0.9048571428571428]",./q2_experiments/cuda_experiments/dataset_name_fashion-mnist_model_name_resnet18_learning_rate_0.001_batch_size_16_optimizer_name_sgd_num_epochs_5_device_cuda/model.pth,./q2_experiments/cuda_experiments/dataset_name_fashion-mnist_model_name_resnet18_learning_rate_0.001_batch_size_16_optimizer_name_sgd_num_epochs_5_device_cuda,./q2_experiments/cuda_experiments,315.6740791797638,0.2745374219513365,0.9015,1818558976,0.002855793552458996,0.17358473568677038
7,fashion-mnist,resnet18,0.001,16,adam,5,cuda,"[0.6261537048885396, 0.4036818661822516, 0.3481714003260115, 0.30732159965241523, 0.286342922785483]","[0.7672681254082299, 0.8535883409536251, 0.8736936642717178, 0.8881858262573481, 0.8973709993468322]","[0.40133620587417057, 0.33788842857735496, 0.2705749394553048, 0.4224847050734929, 0.25146917864467416]","[0.8467142857142858, 0.8757142857142857, 0.897, 0.8531428571428571, 0.9105714285714286]",./q2_experiments/cuda_experiments/dataset_name_fashion-mnist_model_name_resnet18_learning_rate_0.001_batch_size_16_optimizer_name_adam_num_epochs_5_device_cuda/model.pth,./q2_experiments/cuda_experiments/dataset_name_fashion-mnist_model_name_resnet18_learning_rate_0.001_batch_size_16_optimizer_name_adam_num_epochs_5_device_cuda,./q2_experiments/cuda_experiments,326.3559157848358,0.25216278671739356,0.9078571428571428,1818558976,0.0027818007854212966,0.17945852737900747
8,fashion-mnist,resnet32,0.001,16,sgd,5,cuda,"[0.7106229294794669, 0.4218368206993183, 0.35118210231514246, 0.31698466717690754, 0.29332726935908965]","[0.7344056172436316, 0.8465667864141084, 0.8730609079033311, 0.8856956237753103, 0.8937989875898106]","[0.4006044484972954, 0.2990173946171999, 0.28909919719610894, 0.25601470522156783, 0.2653109150316034]","[0.854, 0.8882857142857142, 0.892, 0.9088571428571428, 0.9041428571428571]",./q2_experiments/cuda_experiments/dataset_name_fashion-mnist_model_name_resnet32_learning_rate_0.001_batch_size_16_optimizer_name_sgd_num_epochs_5_device_cuda/model.pth,./q2_experiments/cuda_experiments/dataset_name_fashion-mnist_model_name_resnet32_learning_rate_0.001_batch_size_16_optimizer_name_sgd_num_epochs_5_device_cuda,./q2_experiments/cuda_experiments,464.1271941661835,0.2699438051363187,0.9047142857142857,3670755840,0.0019492809236046347,0.12643913526163142
9,fashion-mnist,resnet32,0.001,16,adam,5,cuda,"[0.64599425256846, 0.41715102211847793, 0.35680524391930607, 0.3186682126953818, 0.2896518471616106]","[0.7606956237753103, 0.8458115610711953, 0.8704686479425212, 0.8838585891574134, 0.8934315806662312]","[0.4079666363554341, 0.30476564168930054, 0.28687353850262504, 0.285079325735569, 0.23935419133944172]","[0.852, 0.8875714285714286, 0.8882857142857142, 0.894, 0.9135714285714286]",./q2_experiments/cuda_experiments/dataset_name_fashion-mnist_model_name_resnet32_learning_rate_0.001_batch_size_16_optimizer_name_adam_num_epochs_5_device_cuda/model.pth,./q2_experiments/cuda_experiments/dataset_name_fashion-mnist_model_name_resnet32_learning_rate_0.001_batch_size_16_optimizer_name_adam_num_epochs_5_device_cuda,./q2_experiments/cuda_experiments,533.2761645317078,0.24859130453424794,0.9102142857142858,3670755840,0.0017068347438959385,0.14527693689692742
10,fashion-mnist,resnet50,0.001,16,sgd,5,cuda,"[1.030033528164837, 0.5705488873274595, 0.44668064111689193, 0.3947546535641792, 0.35842393565944874]","[0.6308172762900065, 0.796721913781842, 0.8428110711952972, 0.8612426518615284, 0.8719382756368387]","[0.6158307239008801, 0.40595719544376646, 0.31246378622523374, 0.31288366721570493, 0.27278380396536417]","[0.7744285714285715, 0.8567142857142858, 0.8892857142857142, 0.8892857142857142, 0.9008571428571429]",./q2_experiments/cuda_experiments/dataset_name_fashion-mnist_model_name_resnet50_learning_rate_0.001_batch_size_16_optimizer_name_sgd_num_epochs_5_device_cuda/model.pth,./q2_experiments/cuda_experiments/dataset_name_fashion-mnist_model_name_resnet50_learning_rate_0.001_batch_size_16_optimizer_name_sgd_num_epochs_5_device_cuda,./q2_experiments/cuda_experiments,646.6345241069794,0.27190684781223534,0.9032857142857142,4109485056,0.0013969030118414687,0.15735171567612077
11,fashion-mnist,resnet50,0.001,16,adam,5,cuda,"[0.7708263723368274, 0.5058089927018935, 0.420884038761482, 0.3808398072277503, 0.34882367251454266]","[0.7107895166557805, 0.8138675702155453, 0.8459340300457218, 0.8614059438275636, 0.870856466361855]","[0.5728973131520407, 0.3656775943125997, 0.3445537881553173, 0.29733992277298654, 0.3167769360755171]","[0.7908571428571428, 0.8642857142857143, 0.8721428571428571, 0.8865714285714286, 0.8841428571428571]",./q2_experiments/cuda_experiments/dataset_name_fashion-mnist_model_name_resnet50_learning_rate_0.001_batch_size_16_optimizer_name_adam_num_epochs_5_device_cuda/model.pth,./q2_experiments/cuda_experiments/dataset_name_fashion-mnist_model_name_resnet50_learning_rate_0.001_batch_size_16_optimizer_name_adam_num_epochs_5_device_cuda,./q2_experiments/cuda_experiments,635.0386753082275,0.3151176324657031,0.8807142857142857,4109485056,0.00138686716251859,0.15452998773679624
